 Wed May 02 11:10:47 PDT 2012  NRCS National Water and Climate Center - Provisional Data - subject to revision Idaho (PST) SNOTEL Site ISLAND PARK
Site Id,Date,Time,SNWD.I-1 (in) ,
546,2011-01-01,,      41,
546,2011-01-02,,      40,
546,2011-01-03,,      39,
546,2011-01-04,,      40,
546,2011-01-05,,      41,
546,2011-01-06,,      40,
546,2011-01-07,,      39,
546,2011-01-08,,      38,
546,2011-01-09,,      37,
546,2011-01-10,,      37,
546,2011-01-11,,      37,
546,2011-01-12,,      36,
546,2011-01-13,,      37,
546,2011-01-14,,      40,
546,2011-01-15,,      40,
546,2011-01-16,,      38,
546,2011-01-17,,      45,
546,2011-01-18,,      46,
546,2011-01-19,,      44,
546,2011-01-20,,      43,
546,2011-01-21,,      46,
546,2011-01-22,,      48,
546,2011-01-23,,      48,
546,2011-01-24,,      48,
546,2011-01-25,,      47,
546,2011-01-26,,      47,
546,2011-01-27,,      47,
546,2011-01-28,,      44,
546,2011-01-29,,      44,
546,2011-01-30,,      43,
546,2011-01-31,,      42,
546,2011-02-01,,      42,
546,2011-02-02,,      42,
546,2011-02-03,,      41,
546,2011-02-04,,      41,
546,2011-02-05,,      43,
546,2011-02-06,,      44,
546,2011-02-07,,      47,
546,2011-02-08,,      48,
546,2011-02-09,,      47,
546,2011-02-10,,      47,
546,2011-02-11,,      47,
546,2011-02-12,,      47,
546,2011-02-13,,      45,
546,2011-02-14,,      44,
546,2011-02-15,,      43,
546,2011-02-16,,      41,
546,2011-02-17,,      46,
546,2011-02-18,,      48,
546,2011-02-19,,      48,
546,2011-02-20,,      48,
546,2011-02-21,,      51,
546,2011-02-22,,      51,
546,2011-02-23,,      56,
546,2011-02-24,,      55,
546,2011-02-25,,      55,
546,2011-02-26,,      57,
546,2011-02-27,,      56,
546,2011-02-28,,      56,
546,2011-03-01,,      56,
546,2011-03-02,,      50,
546,2011-03-03,,      49,
546,2011-03-04,,      49,
546,2011-03-05,,      48,
546,2011-03-06,,      49,
546,2011-03-07,,      50,
546,2011-03-08,,      49,
546,2011-03-09,,      49,
546,2011-03-10,,      50,
546,2011-03-11,,      48,
546,2011-03-12,,      48,
546,2011-03-13,,      48,
546,2011-03-14,,      47,
546,2011-03-15,,      49,
546,2011-03-16,,      52,
546,2011-03-17,,      51,
546,2011-03-18,,      52,
546,2011-03-19,,      53,
546,2011-03-20,,      53,
546,2011-03-21,,      51,
546,2011-03-22,,      54,
546,2011-03-23,,      55,
546,2011-03-24,,      54,
546,2011-03-25,,      52,
546,2011-03-26,,      54,
546,2011-03-27,,      54,
546,2011-03-28,,      58,
546,2011-03-29,,      59,
546,2011-03-30,,      60,
546,2011-03-31,,      59,
546,2011-04-01,,      56,
546,2011-04-02,,      54,
546,2011-04-03,,      52,
546,2011-04-04,,      52,
546,2011-04-05,,      51,
546,2011-04-06,,      51,
546,2011-04-07,,      57,
546,2011-04-08,,      56,
546,2011-04-09,,      55,
546,2011-04-10,,      55,
546,2011-04-11,,      53,
546,2011-04-12,,      52,
546,2011-04-13,,      51,
546,2011-04-14,,      49,
546,2011-04-15,,      49,
546,2011-04-16,,      51,
546,2011-04-17,,      47,
546,2011-04-18,,      46,
546,2011-04-19,,      44,
546,2011-04-20,,      41,
546,2011-04-21,,      41,
546,2011-04-22,,      46,
546,2011-04-23,,      44,
546,2011-04-24,,      44,
546,2011-04-25,,      41,
546,2011-04-26,,      45,
546,2011-04-27,,      44,
546,2011-04-28,,      44,
546,2011-04-29,,      43,
546,2011-04-30,,      43,
546,2011-05-01,,      41,
546,2011-05-02,,      39,
546,2011-05-03,,      37,
546,2011-05-04,,      36,
546,2011-05-05,,      34,
546,2011-05-06,,      32,
546,2011-05-07,,      30,
546,2011-05-08,,      28,
546,2011-05-09,,      28,
546,2011-05-10,,      26,
546,2011-05-11,,      24,
546,2011-05-12,,      23,
546,2011-05-13,,      21,
546,2011-05-14,,      17,
546,2011-05-15,,      13,
546,2011-05-16,,      10,
546,2011-05-17,,       9,
546,2011-05-18,,       8,
546,2011-05-19,,       6,
546,2011-05-20,,       4,
546,2011-05-21,,       2,
546,2011-05-22,,       0,
546,2011-05-23,,       0,
546,2011-05-24,,       0,
546,2011-05-25,,       0,
546,2011-05-26,,       0,
546,2011-05-27,,       0,
