 Wed May 02 11:22:57 PDT 2012  NRCS National Water and Climate Center - Provisional Data - subject to revision Montana (PST) SNOTEL Site BEAGLE SPRINGS
Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,
318,2011-01-01,,     5.5,     6.0,   -16.3,   -15.7,   -25.6,   -21.3,      27,
318,2011-01-02,,     5.6,     6.0,    -7.0,    -7.0,   -17.4,   -12.6,      27,
318,2011-01-03,,     5.6,     6.0,   -13.6,    -5.3,   -13.6,    -8.6,      26,
318,2011-01-04,,     5.6,     6.0,    -7.7,    -4.9,   -13.8,    -9.0,      26,
318,2011-01-05,,     5.7,     6.1,    -5.1,    -2.4,    -8.6,    -5.0,      26,
318,2011-01-06,,     5.8,     6.1,    -1.0,    -0.3,    -5.7,    -3.1,      26,
318,2011-01-07,,     5.8,     6.1,     1.3,     4.2,    -1.7,     0.5,      25,
318,2011-01-08,,     5.8,     6.1,     0.3,     4.2,    -2.0,     1.2,      25,
318,2011-01-09,,     5.8,     6.1,   -17.4,     1.0,   -17.5,    -7.0,      25,
318,2011-01-10,,     5.8,     6.1,   -16.7,   -11.7,   -18.0,   -15.5,      25,
318,2011-01-11,,     5.8,     6.1,   -16.8,   -13.3,   -18.3,   -15.5,      25,
318,2011-01-12,,     5.8,     6.1,    -5.8,    -5.2,   -20.3,   -13.8,      25,
318,2011-01-13,,     5.9,     6.2,    -2.2,    -0.1,   -11.4,    -3.2,      26,
318,2011-01-14,,     6.0,     6.4,    -1.3,     2.4,    -3.3,    -0.7,      27,
318,2011-01-15,,     6.0,     6.4,    -0.6,     1.4,    -2.4,    -0.2,      26,
318,2011-01-16,,     6.0,     6.4,    -0.7,     1.3,    -3.1,    -0.7,      26,
318,2011-01-17,,     6.6,     6.8,     0.8,     3.0,    -1.1,     1.5,      31,
318,2011-01-18,,     6.7,     6.9,    -5.0,     0.8,    -5.0,    -1.9,      32,
318,2011-01-19,,     6.7,     6.9,    -7.8,    -1.4,    -8.0,    -4.8,      31,
318,2011-01-20,,     6.8,     7.0,   -11.0,    -7.8,   -15.6,   -11.0,      32,
318,2011-01-21,,     6.8,     7.1,    -3.2,     0.2,   -14.1,    -5.2,      31,
318,2011-01-22,,     6.9,     7.2,    -4.5,     1.0,    -4.5,    -1.9,      32,
318,2011-01-23,,     6.9,     7.3,    -6.4,    -3.2,   -10.8,    -7.4,      32,
318,2011-01-24,,     7.0,     7.3,    -6.9,    -0.1,    -7.5,    -3.1,      32,
318,2011-01-25,,     7.1,     7.3,    -1.2,     1.5,    -9.3,    -3.6,      32,
318,2011-01-26,,     7.2,     7.4,    -8.0,    -1.2,    -8.4,    -4.1,      33,
318,2011-01-27,,     7.2,     7.5,     0.7,     3.2,    -8.8,    -1.4,      32,
318,2011-01-28,,     7.2,     7.5,     1.4,     6.5,    -1.3,     2.3,      32,
318,2011-01-29,,     7.2,     7.5,    -2.9,     6.9,    -2.9,     2.4,      32,
318,2011-01-30,,     7.2,     7.5,    -1.7,     2.6,    -6.0,    -1.6,      31,
318,2011-01-31,,     7.2,     7.5,    -9.0,     0.3,    -9.0,    -4.2,      31,
318,2011-02-01,,     7.2,     7.5,   -22.8,    -9.0,   -22.8,   -15.8,      31,
318,2011-02-02,,     7.2,     7.5,   -13.6,   -13.2,   -26.8,   -20.2,      31,
318,2011-02-03,,     7.2,     7.5,    -2.2,    -0.5,   -13.9,    -7.4,      31,
318,2011-02-04,,     7.3,     7.6,    -0.6,     2.5,    -5.5,    -1.3,      31,
318,2011-02-05,,     7.5,     7.7,    -3.4,     2.9,    -3.6,    -0.7,      33,
318,2011-02-06,,     7.8,     7.9,    -8.9,    -3.2,    -9.4,    -6.7,      36,
318,2011-02-07,,     7.8,     7.9,    -3.1,    -2.9,   -11.0,    -7.3,      36,
318,2011-02-08,,     7.9,     8.0,   -12.7,    -2.4,   -12.7,    -6.1,      37,
318,2011-02-09,,     7.9,     8.1,   -15.0,    -8.9,   -18.5,   -13.4,      37,
318,2011-02-10,,     7.9,     8.1,   -12.7,    -8.2,   -15.6,   -11.7,      36,
318,2011-02-11,,     7.9,     8.1,    -8.1,    -3.9,   -12.7,    -8.1,      35,
318,2011-02-12,,     8.0,     8.2,    -1.5,     2.0,    -8.5,    -2.7,      35,
