 Wed May 02 11:10:32 PDT 2012  NRCS National Water and Climate Center - Provisional Data - subject to revision Idaho (PST) SNOTEL Site ISLAND PARK
Site Id,Date,Time,SNWD.I-1 (in) ,
546,2010-01-01,,      28,
546,2010-01-02,,      27,
546,2010-01-03,,      26,
546,2010-01-04,,      25,
546,2010-01-05,,      25,
546,2010-01-06,,      28,
546,2010-01-07,,      29,
546,2010-01-08,,      27,
546,2010-01-09,,      27,
546,2010-01-10,,      26,
546,2010-01-11,,      26,
546,2010-01-12,,      25,
546,2010-01-13,,      24,
546,2010-01-14,,      23,
546,2010-01-15,,      24,
546,2010-01-16,,      23,
546,2010-01-17,,      23,
546,2010-01-18,,      24,
546,2010-01-19,,      23,
546,2010-01-20,,      27,
546,2010-01-21,,      27,
546,2010-01-22,,      30,
546,2010-01-23,,      38,
546,2010-01-24,,      38,
546,2010-01-25,,      37,
546,2010-01-26,,      37,
546,2010-01-27,,      38,
546,2010-01-28,,      36,
546,2010-01-29,,      35,
546,2010-01-30,,      34,
546,2010-01-31,,      32,
546,2010-02-01,,      36,
546,2010-02-02,,      35,
546,2010-02-03,,      35,
546,2010-02-04,,      35,
546,2010-02-05,,      35,
546,2010-02-06,,      37,
546,2010-02-07,,      37,
546,2010-02-08,,      35,
546,2010-02-09,,      36,
546,2010-02-10,,      34,
546,2010-02-11,,      36,
546,2010-02-12,,      37,
546,2010-02-13,,      38,
546,2010-02-14,,      37,
546,2010-02-15,,      36,
546,2010-02-16,,      35,
546,2010-02-17,,      34,
546,2010-02-18,,      34,
546,2010-02-19,,      34,
546,2010-02-20,,      35,
546,2010-02-21,,      34,
546,2010-02-22,,      34,
546,2010-02-23,,      35,
546,2010-02-24,,      35,
546,2010-02-25,,      33,
546,2010-02-26,,      36,
546,2010-02-27,,      35,
546,2010-02-28,,      33,
546,2010-03-01,,      33,
546,2010-03-02,,      33,
546,2010-03-03,,      33,
546,2010-03-04,,      33,
546,2010-03-05,,      32,
546,2010-03-06,,      32,
546,2010-03-07,,      32,
546,2010-03-08,,      32,
546,2010-03-09,,      30,
546,2010-03-10,,      30,
546,2010-03-11,,      32,
546,2010-03-12,,      32,
546,2010-03-13,,      32,
546,2010-03-14,,      31,
546,2010-03-15,,      31,
546,2010-03-16,,      30,
546,2010-03-17,,      30,
546,2010-03-18,,      28,
546,2010-03-19,,      28,
546,2010-03-20,,      28,
546,2010-03-21,,      28,
546,2010-03-22,,      26,
546,2010-03-23,,      26,
546,2010-03-24,,      26,
546,2010-03-25,,      25,
546,2010-03-26,,      27,
546,2010-03-27,,      24,
546,2010-03-28,,      26,
546,2010-03-29,,      23,
546,2010-03-30,,      25,
546,2010-03-31,,      25,
546,2010-04-01,,      24,
546,2010-04-02,,      25,
546,2010-04-03,,      30,
546,2010-04-04,,      30,
546,2010-04-05,,      30,
546,2010-04-06,,      30,
546,2010-04-07,,      31,
546,2010-04-08,,      31,
546,2010-04-09,,      29,
546,2010-04-10,,      29,
546,2010-04-11,,      27,
546,2010-04-12,,      26,
546,2010-04-13,,      23,
546,2010-04-14,,      27,
546,2010-04-15,,      25,
546,2010-04-16,,      24,
546,2010-04-17,,      21,
546,2010-04-18,,      20,
546,2010-04-19,,      18,
546,2010-04-20,,      17,
546,2010-04-21,,      14,
546,2010-04-22,,      12,
546,2010-04-23,,      12,
546,2010-04-24,,      10,
546,2010-04-25,,       9,
546,2010-04-26,,       8,
546,2010-04-27,,       7,
546,2010-04-28,,       5,
546,2010-04-29,,       9,
546,2010-04-30,,       9,
546,2010-05-01,,       7,
546,2010-05-02,,       8,
546,2010-05-03,,       7,
546,2010-05-04,,       6,
546,2010-05-05,,       5,
546,2010-05-06,,       4,
546,2010-05-07,,       4,
546,2010-05-08,,       3,
546,2010-05-09,,       2,
546,2010-05-10,,       1,
546,2010-05-11,,       0,
546,2010-05-12,,       0,
546,2010-05-13,,       0,
546,2010-05-14,,       0,
546,2010-05-15,,       0,
546,2010-05-16,,       0,
546,2010-05-17,,       0,
546,2010-05-18,,       0,
546,2010-05-19,,       0,
546,2010-05-20,,       0,
546,2010-05-21,,       0,
546,2010-05-22,,       0,
546,2010-05-23,,       0,
546,2010-05-24,,       0,
546,2010-05-25,,       0,
546,2010-05-26,,       0,
546,2010-05-27,,       0,
546,2010-05-28,,       0,
546,2010-05-29,,       0,
546,2010-05-30,,       0,
546,2010-05-31,,       0,
546,2010-06-01,,       0,
546,2010-06-02,,       0,
546,2010-06-03,,       0,
546,2010-06-04,,       0,
546,2010-06-05,,       0,
546,2010-06-06,,       0,
546,2010-06-07,,       0,
546,2010-06-08,,       0,
546,2010-06-09,,       0,
546,2010-06-10,,       0,
546,2010-06-11,,       0,
546,2010-06-12,,       0,
546,2010-06-13,,       0,
546,2010-06-14,,       0,
546,2010-06-15,,       0,
546,2010-06-16,,       0,
546,2010-06-17,,       0,
546,2010-06-18,,       0,
546,2010-06-19,,       0,
546,2010-06-20,,       0,
546,2010-06-21,,       0,
546,2010-06-22,,       0,
546,2010-06-23,,       0,
546,2010-06-24,,       0,
546,2010-06-25,,       0,
546,2010-06-26,,       0,
546,2010-06-27,,       0,
546,2010-06-28,,       0,
546,2010-06-29,,       0,
546,2010-06-30,,       0,
546,2010-07-01,,       0,
546,2010-07-02,,       0,
546,2010-07-03,,       0,
546,2010-07-04,,       0,
546,2010-07-05,,       0,
546,2010-07-06,,       0,
546,2010-07-07,,       0,
546,2010-07-08,,       0,
546,2010-07-09,,       0,
546,2010-07-10,,       0,
546,2010-07-11,,       0,
546,2010-07-12,,       0,
546,2010-07-13,,       0,
546,2010-07-14,,       0,
546,2010-07-15,,       0,
546,2010-07-16,,       0,
546,2010-07-17,,       0,
546,2010-07-18,,       0,
546,2010-07-19,,       0,
546,2010-07-20,,       0,
546,2010-07-21,,       0,
546,2010-07-22,,       0,
546,2010-07-23,,       0,
546,2010-07-24,,       0,
546,2010-07-25,,       0,
546,2010-07-26,,       0,
546,2010-07-27,,       0,
546,2010-07-28,,       0,
546,2010-07-29,,       0,
546,2010-07-30,,       0,
546,2010-07-31,,       0,
546,2010-08-01,,       0,
546,2010-08-02,,       0,
546,2010-08-03,,       0,
546,2010-08-04,,       0,
546,2010-08-05,,       0,
546,2010-08-06,,       0,
546,2010-08-07,,       0,
546,2010-08-08,,       0,
546,2010-08-09,,       0,
546,2010-08-10,,       0,
546,2010-08-11,,       0,
546,2010-08-12,,       0,
546,2010-08-13,,       0,
546,2010-08-14,,       0,
546,2010-08-15,,       0,
546,2010-08-16,,       0,
546,2010-08-17,,       0,
546,2010-08-18,,       0,
546,2010-08-19,,       0,
546,2010-08-20,,       0,
546,2010-08-21,,       0,
546,2010-08-22,,       0,
546,2010-08-23,,       0,
546,2010-08-24,,       0,
546,2010-08-25,,       0,
546,2010-08-26,,       0,
546,2010-08-27,,       0,
546,2010-08-28,,       0,
546,2010-08-29,,       0,
546,2010-08-30,,       0,
546,2010-08-31,,       0,
546,2010-09-01,,       0,
546,2010-09-02,,       0,
546,2010-09-03,,       0,
546,2010-09-04,,       0,
546,2010-09-05,,       0,
546,2010-09-06,,       0,
546,2010-09-07,,       0,
546,2010-09-08,,       0,
546,2010-09-09,,       0,
546,2010-09-10,,       0,
546,2010-09-11,,       0,
546,2010-09-12,,       0,
546,2010-09-13,,       0,
546,2010-09-14,,       0,
546,2010-09-15,,       0,
546,2010-09-16,,       0,
546,2010-09-17,,       0,
546,2010-09-18,,       0,
546,2010-09-19,,       0,
546,2010-09-20,,       0,
546,2010-09-21,,       0,
546,2010-09-22,,       0,
546,2010-09-23,,       0,
546,2010-09-24,,       0,
546,2010-09-25,,       0,
546,2010-09-26,,       0,
546,2010-09-27,,       0,
546,2010-09-28,,       0,
546,2010-09-29,,       0,
546,2010-09-30,,       0,
546,2010-09-30,23:59,-99.9,
546,2010-10-01,,       0,
546,2010-10-02,,       0,
546,2010-10-03,,       0,
546,2010-10-04,,       0,
546,2010-10-05,,       0,
546,2010-10-06,,       0,
546,2010-10-07,,       0,
546,2010-10-08,,       0,
546,2010-10-09,,       0,
546,2010-10-10,,       0,
546,2010-10-11,,       0,
546,2010-10-12,,       0,
546,2010-10-13,,       0,
546,2010-10-14,,       0,
546,2010-10-15,,       0,
546,2010-10-16,,       0,
546,2010-10-17,,       0,
546,2010-10-18,,       0,
546,2010-10-19,,       0,
546,2010-10-20,,       0,
546,2010-10-21,,       0,
546,2010-10-22,,       0,
546,2010-10-23,,       0,
546,2010-10-24,,       0,
546,2010-10-25,,       0,
546,2010-10-26,,       0,
546,2010-10-27,,       0,
546,2010-10-28,,       0,
546,2010-10-29,,       0,
546,2010-10-30,,       0,
546,2010-10-31,,       0,
546,2010-11-01,,       0,
546,2010-11-02,,       0,
546,2010-11-03,,       0,
546,2010-11-04,,       0,
546,2010-11-05,,       0,
546,2010-11-06,,       0,
546,2010-11-07,,       0,
546,2010-11-08,,       0,
546,2010-11-09,,       4,
546,2010-11-10,,       3,
546,2010-11-11,,       3,
546,2010-11-12,,       4,
546,2010-11-13,,       4,
546,2010-11-14,,       4,
546,2010-11-15,,       6,
546,2010-11-16,,       9,
546,2010-11-17,,       8,
546,2010-11-18,,       7,
546,2010-11-19,,       5,
546,2010-11-20,,      10,
546,2010-11-21,,      18,
546,2010-11-22,,      19,
546,2010-11-23,,      23,
546,2010-11-24,,      30,
546,2010-11-25,,      27,
546,2010-11-26,,      25,
