 Wed May 02 11:10:21 PDT 2012  NRCS National Water and Climate Center - Provisional Data - subject to revision Idaho (PST) SNOTEL Site ISLAND PARK
Site Id,Date,Time,SNWD.I-1 (in) ,
546,2009-01-01,,      38,
546,2009-01-02,,      37,
546,2009-01-03,,      36,
546,2009-01-04,,      36,
546,2009-01-05,,      35,
546,2009-01-06,,      37,
546,2009-01-07,,      41,
546,2009-01-08,,      38,
546,2009-01-09,,      36,
546,2009-01-10,,      35,
546,2009-01-11,,      36,
546,2009-01-12,,      38,
546,2009-01-13,,      38,
546,2009-01-14,,      38,
546,2009-01-15,,      36,
546,2009-01-16,,      37,
546,2009-01-17,,      36,
546,2009-01-18,,      36,
546,2009-01-19,,      35,
546,2009-01-20,,      35,
546,2009-01-21,,      34,
546,2009-01-22,,      34,
546,2009-01-23,,      35,
546,2009-01-24,,      35,
546,2009-01-25,,      37,
546,2009-01-26,,      38,
546,2009-01-27,,      39,
546,2009-01-28,,      40,
546,2009-01-29,,      40,
546,2009-01-30,,      41,
546,2009-01-31,,      39,
546,2009-02-01,,      39,
546,2009-02-02,,      38,
546,2009-02-03,,      39,
546,2009-02-04,,      38,
546,2009-02-05,,      37,
546,2009-02-06,,      36,
546,2009-02-07,,      38,
546,2009-02-08,,      40,
546,2009-02-09,,      36,
546,2009-02-10,,      39,
546,2009-02-11,,      42,
546,2009-02-12,,      42,
546,2009-02-13,,      44,
546,2009-02-14,,      42,
546,2009-02-15,,      41,
546,2009-02-16,,      43,
546,2009-02-17,,      44,
546,2009-02-18,,      43,
546,2009-02-19,,      44,
546,2009-02-20,,      43,
546,2009-02-21,,      42,
546,2009-02-22,,      42,
546,2009-02-23,,      41,
546,2009-02-24,,      41,
546,2009-02-25,,      41,
546,2009-02-26,,      40,
546,2009-02-27,,      46,
546,2009-02-28,,      45,
546,2009-03-01,,      44,
546,2009-03-02,,      42,
546,2009-03-03,,      41,
546,2009-03-04,,      40,
546,2009-03-05,,      41,
546,2009-03-06,,      44,
546,2009-03-07,,      50,
546,2009-03-08,,      50,
546,2009-03-09,,      53,
546,2009-03-10,,      52,
546,2009-03-11,,      51,
546,2009-03-12,,      50,
546,2009-03-13,,      48,
546,2009-03-14,,      48,
546,2009-03-15,,      47,
546,2009-03-16,,      47,
546,2009-03-17,,      47,
546,2009-03-18,,      46,
546,2009-03-19,,      45,
546,2009-03-20,,      44,
546,2009-03-21,,      42,
546,2009-03-22,,      40,
546,2009-03-23,,      39,
546,2009-03-24,,      39,
546,2009-03-25,,      41,
546,2009-03-26,,      40,
546,2009-03-27,,      40,
546,2009-03-28,,      39,
546,2009-03-29,,      42,
546,2009-03-30,,      46,
546,2009-03-31,,      44,
546,2009-04-01,,      48,
546,2009-04-02,,      46,
546,2009-04-03,,      50,
546,2009-04-04,,      49,
546,2009-04-05,,      48,
546,2009-04-06,,      48,
546,2009-04-07,,      46,
546,2009-04-08,,      44,
546,2009-04-09,,      44,
546,2009-04-10,,      42,
546,2009-04-11,,      41,
546,2009-04-12,,      40,
546,2009-04-13,,      38,
546,2009-04-14,,      38,
546,2009-04-15,,      39,
546,2009-04-16,,      38,
546,2009-04-17,,      37,
546,2009-04-18,,      36,
546,2009-04-19,,      34,
546,2009-04-20,,      31,
546,2009-04-21,,      29,
546,2009-04-22,,      26,
546,2009-04-23,,      24,
546,2009-04-24,,      23,
546,2009-04-25,,      24,
546,2009-04-26,,      22,
546,2009-04-27,,      28,
546,2009-04-28,,      23,
546,2009-04-29,,      26,
546,2009-04-30,,      27,
546,2009-05-01,,      26,
546,2009-05-02,,      24,
546,2009-05-03,,      23,
546,2009-05-04,,      21,
546,2009-05-05,,      20,
546,2009-05-06,,      20,
546,2009-05-07,,      19,
546,2009-05-08,,      17,
546,2009-05-09,,      17,
546,2009-05-10,,      15,
546,2009-05-11,,      13,
546,2009-05-12,,      11,
546,2009-05-13,,       9,
546,2009-05-14,,       8,
546,2009-05-15,,       6,
546,2009-05-16,,       4,
546,2009-05-17,,       0,
546,2009-05-18,,       0,
546,2009-05-19,,       0,
546,2009-05-20,,       0,
546,2009-05-21,,       0,
546,2009-05-22,,       0,
546,2009-05-23,,       0,
546,2009-05-24,,       0,
546,2009-05-25,,       0,
546,2009-05-26,,       0,
546,2009-05-27,,       0,
546,2009-05-28,,       0,
546,2009-05-29,,       0,
546,2009-05-30,,       0,
546,2009-05-31,,       0,
546,2009-06-01,,       0,
546,2009-06-02,,       0,
546,2009-06-03,,       0,
546,2009-06-04,,       0,
546,2009-06-05,,       0,
546,2009-06-06,,       0,
546,2009-06-07,,       0,
546,2009-06-08,,       0,
546,2009-06-09,,       0,
546,2009-06-10,,       0,
546,2009-06-11,,       0,
546,2009-06-12,,       0,
546,2009-06-13,,       0,
546,2009-06-14,,       0,
546,2009-06-15,,       0,
546,2009-06-16,,       0,
546,2009-06-17,,       0,
546,2009-06-18,,       0,
546,2009-06-19,,       0,
546,2009-06-20,,       0,
546,2009-06-21,,       0,
546,2009-06-22,,       0,
546,2009-06-23,,       0,
546,2009-06-24,,       0,
546,2009-06-25,,       0,
546,2009-06-26,,       0,
546,2009-06-27,,       0,
546,2009-06-28,,       0,
546,2009-06-29,,       0,
546,2009-06-30,,       0,
546,2009-07-01,,       0,
546,2009-07-02,,       0,
546,2009-07-03,,       0,
546,2009-07-04,,       0,
546,2009-07-05,,       0,
546,2009-07-06,,       0,
546,2009-07-07,,       0,
546,2009-07-08,,       0,
546,2009-07-09,,       0,
546,2009-07-10,,       0,
546,2009-07-11,,       0,
546,2009-07-12,,       0,
546,2009-07-13,,       0,
546,2009-07-14,,       0,
546,2009-07-15,,       0,
546,2009-07-16,,       0,
546,2009-07-17,,       0,
546,2009-07-18,,       0,
546,2009-07-19,,       0,
546,2009-07-20,,       0,
546,2009-07-21,,       0,
546,2009-07-22,,       0,
546,2009-07-23,,       0,
546,2009-07-24,,       0,
546,2009-07-25,,       0,
546,2009-07-26,,       0,
546,2009-07-27,,       0,
546,2009-07-28,,       0,
546,2009-07-29,,       0,
546,2009-07-30,,       0,
546,2009-07-31,,       0,
546,2009-08-01,,       0,
546,2009-08-02,,       0,
546,2009-08-03,,       0,
546,2009-08-04,,       0,
546,2009-08-05,,       0,
546,2009-08-06,,       0,
546,2009-08-07,,       0,
546,2009-08-08,,       0,
546,2009-08-09,,       0,
546,2009-08-10,,       0,
546,2009-08-11,,       0,
546,2009-08-12,,       0,
546,2009-08-13,,       0,
546,2009-08-14,,       0,
546,2009-08-15,,       0,
546,2009-08-16,,       0,
546,2009-08-17,,       0,
546,2009-08-18,,       0,
546,2009-08-19,,       0,
546,2009-08-20,,       0,
546,2009-08-21,,       0,
546,2009-08-22,,       0,
546,2009-08-23,,       0,
546,2009-08-24,,       0,
546,2009-08-25,,       0,
546,2009-08-26,,       0,
546,2009-08-27,,       0,
546,2009-08-28,,       0,
546,2009-08-29,,       0,
546,2009-08-30,,       0,
546,2009-08-31,,       0,
546,2009-09-01,,       0,
546,2009-09-02,,       0,
546,2009-09-03,,       0,
546,2009-09-04,,       0,
546,2009-09-05,,       0,
546,2009-09-06,,       0,
546,2009-09-07,,       0,
546,2009-09-08,,       0,
546,2009-09-09,,       0,
546,2009-09-10,,       0,
546,2009-09-11,,       0,
546,2009-09-12,,       0,
546,2009-09-13,,       0,
546,2009-09-14,,       0,
546,2009-09-15,,       0,
546,2009-09-16,,       0,
546,2009-09-17,,       0,
546,2009-09-18,,       0,
546,2009-09-19,,       0,
546,2009-09-20,,       0,
546,2009-09-21,,       0,
546,2009-09-22,,       0,
546,2009-09-23,,       0,
546,2009-09-24,,       0,
546,2009-09-25,,       0,
546,2009-09-26,,       0,
546,2009-09-27,,       0,
546,2009-09-28,,       0,
546,2009-09-29,,       0,
546,2009-09-30,,       0,
546,2009-09-30,23:59,-99.9,
546,2009-10-01,,       0,
546,2009-10-02,,       0,
546,2009-10-03,,       0,
