 Wed May 02 11:22:45 PDT 2012  NRCS National Water and Climate Center - Provisional Data - subject to revision Montana (PST) SNOTEL Site BEAGLE SPRINGS
Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,
318,2010-01-01,,     5.7,     6.7,    -2.9,    -2.7,   -13.8,    -8.0,      25,
318,2010-01-02,,     5.7,     6.7,    -4.4,     0.7,    -4.4,    -1.9,      25,
318,2010-01-03,,     5.7,     6.7,    -8.3,    -1.6,    -8.7,    -5.0,      25,
318,2010-01-04,,     5.8,     6.8,    -5.3,    -3.5,   -11.4,    -7.1,      25,
318,2010-01-05,,     5.9,     6.9,    -1.5,     2.8,    -5.4,    -0.9,      27,
318,2010-01-06,,     5.9,     6.9,    -2.0,     1.0,    -2.1,    -0.5,      26,
318,2010-01-07,,     5.9,     7.0,   -15.3,    -1.9,   -18.3,   -12.8,      26,
318,2010-01-08,,     6.1,     7.0,    -5.5,    -3.8,   -15.3,    -8.8,      26,
318,2010-01-09,,     6.1,     7.0,    -1.7,     2.9,    -5.4,    -1.7,      26,
318,2010-01-10,,     6.1,     7.0,    -3.0,     3.0,    -3.3,    -0.8,      25,
318,2010-01-11,,     6.1,     7.0,    -1.2,     2.0,    -3.4,    -1.7,      25,
318,2010-01-12,,     6.1,     7.0,     1.3,     6.7,    -2.3,     1.7,      25,
318,2010-01-13,,     6.1,     7.0,    -1.4,     3.0,    -2.1,     0.4,      25,
318,2010-01-14,,     6.2,     7.0,    -3.0,     1.8,    -4.4,    -2.0,      26,
318,2010-01-15,,     6.2,     7.1,    -4.5,    -0.9,    -6.5,    -4.0,      26,
318,2010-01-16,,     6.2,     7.1,     1.0,     2.7,    -5.1,    -0.2,      26,
318,2010-01-17,,     6.2,     7.1,    -2.4,     4.5,    -3.4,    -0.4,      26,
318,2010-01-18,,     6.2,     7.1,    -3.6,     2.6,    -3.6,    -1.4,      26,
318,2010-01-19,,     6.2,     7.1,    -4.4,     1.7,    -5.2,    -3.5,      26,
318,2010-01-20,,     6.2,     7.1,    -8.2,    -0.1,    -9.0,    -4.5,      26,
318,2010-01-21,,     6.2,     7.1,    -6.4,    -2.4,    -9.0,    -6.2,      26,
318,2010-01-22,,     6.3,     7.1,    -7.3,    -1.2,    -9.6,    -5.7,      26,
318,2010-01-23,,     6.5,     7.3,    -6.5,    -3.6,    -8.7,    -6.4,      29,
318,2010-01-24,,     6.6,     7.4,    -8.6,    -5.1,    -8.7,    -7.4,      30,
318,2010-01-25,,     6.6,     7.5,    -8.8,    -4.7,   -12.0,    -8.9,      29,
318,2010-01-26,,     6.7,     7.5,    -8.2,    -0.4,   -10.1,    -5.2,      29,
